Borough,Date,Price
Bronx,2014,95.05908000268465
Bronx,2015,78.42490707127433
Bronx,2016,82.22453870569117
Bronx,2017,97.54814591420102
Bronx,2018,87.10959925698815
Brooklyn,2014,152.15550029448127
Brooklyn,2015,122.75666785113803
Brooklyn,2016,125.95293629659174
Brooklyn,2017,125.76299062957527
Brooklyn,2018,131.19666338599757
Manhattan,2014,266.4210771344247
Manhattan,2015,196.44797707468177
Manhattan,2016,197.43440308902132
Manhattan,2017,179.72215517742927
Manhattan,2018,208.564559551309
Queens,2014,117.21253106988269
Queens,2015,101.9943718914221
Queens,2016,112.86844305960777
Queens,2017,102.53315339107509
Queens,2018,114.03313840646396
Staten Island,2014,370.2437544308189
Staten Island,2015,184.96354820961963
Staten Island,2016,140.43667042030887
Staten Island,2017,128.11872769310116
Staten Island,2018,131.1883366225278
